District,Depth_mbgl,Year,Season
Jaisalmer,7.95,2022,Pre-Monsoon
Jaisalmer,30.07,2022,Pre-Monsoon
Jaisalmer,23.02,2022,Pre-Monsoon
Jaisalmer,35.89,2022,Pre-Monsoon
Jaisalmer,16.0,2022,Pre-Monsoon
Jaisalmer,8.8,2022,Pre-Monsoon
Jaisalmer,7.4,2022,Pre-Monsoon
Jaisalmer,7.9,2022,Pre-Monsoon
Jaisalmer,10.1,2022,Pre-Monsoon
Jaisalmer,4.25,2022,Pre-Monsoon
Jaisalmer,6.4,2022,Pre-Monsoon
Jaisalmer,20.3,2022,Pre-Monsoon
Jaisalmer,20.9,2022,Pre-Monsoon
Jaisalmer,19.85,2022,Pre-Monsoon
Jaisalmer,15.5,2022,Pre-Monsoon
Jaisalmer,14.7,2022,Pre-Monsoon
Kota,9.95,2022,Pre-Monsoon
Kota,14.55,2022,Pre-Monsoon
Kota,6.75,2022,Pre-Monsoon
Kota,7.85,2022,Pre-Monsoon
Kota,10.3,2022,Pre-Monsoon
Kota,8.1,2022,Pre-Monsoon
Kota,24.1,2022,Pre-Monsoon
Kota,10.35,2022,Pre-Monsoon
Kota,7.8,2022,Pre-Monsoon
Kota,5.15,2022,Pre-Monsoon
Kota,5.85,2022,Pre-Monsoon
Kota,19.05,2022,Pre-Monsoon
Kota,9.75,2022,Pre-Monsoon
Kota,14.2,2022,Pre-Monsoon
Kota,13.18,2022,Pre-Monsoon
Kota,13.7,2022,Pre-Monsoon
Kota,7.85,2022,Pre-Monsoon
Kota,17.5,2022,Pre-Monsoon
Kota,10.6,2022,Pre-Monsoon
Kota,28.3,2022,Pre-Monsoon
Kota,6.57,2022,Pre-Monsoon
Kota,7.35,2022,Pre-Monsoon
Kota,9.18,2022,Pre-Monsoon
Kota,21.55,2022,Pre-Monsoon
Kota,24.7,2022,Pre-Monsoon
Kota,7.1,2022,Pre-Monsoon
Kota,15.35,2022,Pre-Monsoon
Kota,9.85,2022,Pre-Monsoon
Kota,8.5,2022,Pre-Monsoon
Kota,9.26,2022,Pre-Monsoon
Kota,16.1,2022,Pre-Monsoon
Kota,16.6,2022,Pre-Monsoon
Kota,8.05,2022,Pre-Monsoon
Kota,7.65,2022,Pre-Monsoon
Kota,8.85,2022,Pre-Monsoon
Kota,10.16,2022,Pre-Monsoon
Kota,6.23,2022,Pre-Monsoon
Kota,7.1,2022,Pre-Monsoon
Kota,23.65,2022,Pre-Monsoon
Kota,10.65,2022,Pre-Monsoon
Kota,12.6,2022,Pre-Monsoon
Kota,25.35,2022,Pre-Monsoon
Kota,9.18,2022,Pre-Monsoon
Kota,11.2,2022,Pre-Monsoon
Kota,17.45,2022,Pre-Monsoon
Kota,10.85,2022,Pre-Monsoon
Kota,16.65,2022,Pre-Monsoon
Kota,8.18,2022,Pre-Monsoon
Kota,15.95,2022,Pre-Monsoon
Kota,12.65,2022,Pre-Monsoon
Kota,17.75,2022,Pre-Monsoon
Kota,15.2,2022,Pre-Monsoon
Kota,11.1,2022,Pre-Monsoon
Kota,10.85,2022,Pre-Monsoon
Kota,12.45,2022,Pre-Monsoon
Kota,11.1,2022,Pre-Monsoon
Kota,8.65,2022,Pre-Monsoon
Kota,11.75,2022,Pre-Monsoon
Kota,9.13,2022,Pre-Monsoon
Kota,9.68,2022,Pre-Monsoon
Kota,11.35,2022,Pre-Monsoon
Kota,12.6,2022,Pre-Monsoon
Kota,22.95,2022,Pre-Monsoon
Kota,23.45,2022,Pre-Monsoon
Kota,22.1,2022,Pre-Monsoon
Kota,6.9,2022,Pre-Monsoon
Kota,11.9,2022,Pre-Monsoon
Kota,8.35,2022,Pre-Monsoon
Kota,9.1,2022,Pre-Monsoon
Kota,10.13,2022,Pre-Monsoon
